REF_DATE;GEO;DGUID;Month of birth;Characteristics;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2009;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28544;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;27878;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28096;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;29262;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28536;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28505;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28342;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;29365;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28305;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;27677;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;27473;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;27884;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;27252;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;34869;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;34972;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;34339;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;34155;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;33448;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31816;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;30096;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29821;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29330;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29277;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29261;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;27901;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;28198;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29041;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29503;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;29800;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;30555;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31221;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;32266;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;32434;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31450;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31464;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31322;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31689;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31415;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;32158;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31351;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31131;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;30689;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;30568;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, March;Number of live births;Number;223;units;0;v21400542;01.04.2001;31512;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;35398;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;35265;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;34196;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;33228;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31765;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31834;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30737;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30314;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;28592;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;28257;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;28894;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;27739;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;27932;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;28538;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;29139;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;28917;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30187;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31517;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31788;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31607;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30869;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31010;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30818;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31109;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31600;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;31664;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30701;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30404;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30441;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30092;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, April;Number of live births;Number;223;units;0;v21400544;01.05.2001;30188;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;36371;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;36096;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;34857;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;34576;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;34593;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;33150;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;31834;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;30877;;;;0
