REF_DATE;GEO;DGUID;Indicator;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2015;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;483.5;;;;1
2016;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;480.8;;;;1
2017;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;475.9;;;;1
2018;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;475.1;;;;1
2019;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;454.0;;;;1
2020;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;304.4;;;;1
1991;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;73.6;;;;1
1992;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;71.9;;;;1
1993;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;70.1;;;;1
1994;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;69.7;;;;1
1995;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;69.3;;;;1
1996;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;68.1;;;;1
1997;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;67.0;;;;1
1998;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;66.7;;;;1
1999;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;67.0;;;;1
2000;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;67.0;;;;1
2001;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;64.1;;;;1
2002;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;63.6;;;;1
2003;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;64.7;;;;1
2004;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;64.8;;;;1
2005;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;64.5;;;;1
2006;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;64.8;;;;1
2007;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;63.6;;;;1
2008;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;62.9;;;;1
2009;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;62.0;;;;1
2010;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;61.5;;;;1
2011;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.8;;;;1
2012;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;61.2;;;;1
2013;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.0;;;;1
2014;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.6;;;;1
2015;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.9;;;;1
2016;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.4;;;;1
2017;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.6;;;;1
2018;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;60.8;;;;1
2019;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;59.3;;;;1
2020;Canada;2016A000011124;Probability of ever marrying according to the period first-marriage table, all genders;Percent;239;units;0;v1446862608;янв.13;44.4;;;;1
